id,Family,Clade_name,Status,Missing_species,Branching_times,Min_age,Max_age,name,Ecosystem,Family,Genetic data
10,Corvidae,Cyanocorax yucatanicus,Endemic,0,2.29,0.29,NA,Cyanocorax_yucatanicus,seco,Non-Tyrannidae,TRUE
32,Icteridae,Icterus auratus,Endemic,0,2.03,0.02,2.03,Icterus_auratus_AF099312_Yucatan_Mexico,seco,Non-Tyrannidae,TRUE
49,Passerellidae,Arremonops chloronotus,Endemic,0,2.54,NA,2.6,Arremonops_chloronotus_FJ547295_Campeche_endemic,rainforest,Non-Tyrannidae,TRUE
121,Virionidae,Vireo magister,Endemic,0,2.17,NA,NA,Vireo_magister_KM115351_Endemic_Mexico,rainforest,Non-Tyrannidae,TRUE
86,Troglodytidae,Thryothorus albinucha,Endemic_MaxAge,0,2.6,NA,2.6,Thryothorus_ludovicianus_AY465893_Campeche,seco,Non-Tyrannidae,TRUE
8,Cardinalidae,Piranga roseogularis,Endemic_MaxAge_MinAge,0,"2.6,0.10",0.1,2.6,Piranga roseogularis,rainforest,Non-Tyrannidae,TRUE
43,Mimidae,Melanoptila glabrirostris,Endemic_MaxAge_MinAge,0,"2.6,0.48",0.48,2.6,Melanoptila_glabrirostris_AF140893_Endemic_Mexico,seco,Non-Tyrannidae,TRUE
54,Polioptilidae,Polioptila albiventris,Endemic_MaxAge_MinAge,0,"2.6,0.15",0.15,2.6,Polioptila_albiloris_MG903006_Yucatan_Mexico,rainforest,Non-Tyrannidae,TRUE
83,Troglodytidae,Campylorhynchus yucatanicus,Endemic_MaxAge_MinAge,0,"2.6,0.05",0.05,2.6,Campylorhynchus_yucatanicus_MZ380473,seco,Non-Tyrannidae,TRUE
1,Cardinalidae,Cardinalis cardinalis,Non_endemic,0,0.76,0.3,2.6,Cardinalis_cardinalis,seco,Non-Tyrannidae,TRUE
3,Cardinalidae,Cyanocompsa parellina,Non_endemic,0,0.3,0.16,2.6,cyanocompsa_parellina,seco,Non-Tyrannidae,TRUE
7,Cardinalidae,Habia rubica,Non_endemic,0,0.04,NA,NA,Habia_rubica_MX_Cam_H_rubica,rainforest,Non-Tyrannidae,TRUE
15,Fringillidae,Euphonia gouldi,Non_endemic,0,0.14,0.11,NA,Euphonia_gouldi ,rainforest,Non-Tyrannidae,TRUE
18,Furnariidae,Automolus ochrolaemus,Non_endemic,0,0.03,0.01,0.03,Automolus_ochrolaemus,rainforest,Non-Tyrannidae,TRUE
