"","id","model_name","likelihood_time.i.","lambda_c","mu","K","gamma","lambda_a","lambda_c2","mu2","K2","gamma2","lambda_a2","tshift","loglik","df","conv","decision"
"1",1,"ndd_cl0",0,0,1.783004956,Inf,0.116379776,0.174495285,0,1.880881551,Inf,0.093598981,0.009451823,0,-534.7070107,6,0,"accepted"
"2",2,"ndd_cl0",0.1,0,5.2e-11,Inf,2.606073194,0.046737053,0,30.15165817,Inf,0.336660096,1.92e-13,0.1,-529.8609624,6,0,"rejected"
"3",3,"ndd_cl0",0.2,0,1.250515584,Inf,0.044554476,0.275483642,0,7.78e-11,Inf,0.146126692,3.41e-13,0.2,-527.4616306,6,0,"accepted"
"4",4,"ndd_cl0",0.3,0,0.688986804,Inf,0.019954518,0.33535252,0,0.057366609,Inf,0.135038572,9.01e-30,0.3,-521.449785,6,0,"accepted"
"5",6,"ndd_cl0",0.4,0,0.508956248,Inf,0.041387098,0.372677561,0,2.515736498,Inf,0.173491138,1.93e-14,0.4,-522.3515934,6,0,"accepted"
"6",7,"ndd_cl0",0.5,0,0.630270978,Inf,0.155739253,0.388272233,0,4.215255054,Inf,0.211587955,7.46e-14,0.5,-524.0088827,6,0,"accepted"
"7",8,"ndd_cl0",0.6,0,0.637143197,Inf,0.34611908,0.404529212,0,4.660633458,Inf,0.224271818,1.09e-13,0.6,-523.5407853,6,0,"accepted"
"8",9,"ndd_cl0",0.7,0,0.148079688,Inf,0.08435644,0.551255418,0,3.215084493,Inf,0.179994344,2.3e-13,0.7,-522.5924538,6,0,"rejected"
"9",11,"ndd_cl0",0.8,0,4.53e-13,Inf,0.055741927,0.675322276,0,2.733917376,Inf,0.163472253,6.16e-14,0.8,-520.0795499,6,0,"rejected"
"10",12,"ndd_cl0",0.9,0,1.99e-12,Inf,0.098115338,0.729822842,0,2.989048166,Inf,0.171587062,1.95e-13,0.9,-520.5005344,6,0,"rejected"
"11",13,"ndd_cl0",1,0,1.85e-12,Inf,0.122159881,0.828334678,0,2.930282872,Inf,0.168779272,4.98e-14,1,-520.3490741,6,0,"rejected"
"12",14,"ndd_cl0",1.1,0,7.6e-15,Inf,0.210928515,0.889912704,0,3.069005713,Inf,0.173790474,6.49e-13,1.1,-520.3914604,6,0,"rejected"
"13",15,"ndd_cl0",1.2,0,3.83e-13,Inf,0.35251102,0.960344162,0,3.143350986,Inf,0.176431572,2.86e-13,1.2,-520.1213421,6,0,"rejected"
"14",16,"ndd_cl0",1.3,0,9.7e-13,Inf,0.575784836,1.040892128,0,3.171987249,Inf,0.17723484,2.36e-14,1.3,-519.6161717,6,0,"rejected"
"15",17,"ndd_cl0",1.4,0,2.28e-11,Inf,0.932728351,1.13151073,0,3.168918866,Inf,0.176679038,3.59e-13,1.4,-518.888593,6,0,"rejected"
"16",18,"ndd_cl0",1.5,0,1.25e-11,Inf,1.553028791,1.221989297,0,3.147660215,Inf,0.175296165,3.76e-13,1.5,-517.8757198,6,0,"rejected"
"17",19,"ndd_cl0",1.6,0,2.81e-11,Inf,1.528091131,1.634870909,0,2.982733713,Inf,0.168419775,2.9e-15,1.6,-518.9240658,6,0,"rejected"
"18",21,"ndd_cl0",1.7,0,0.191989636,Inf,1.413519988,2.413393188,0,2.779789424,Inf,0.159299975,1.84e-45,1.7,-520.1064952,6,0,"rejected"
"19",22,"ndd_cl0",1.8,0,0.28490965,Inf,1.266804194,3.565205988,0,2.602547899,Inf,0.15135506,1.12e-29,1.8,-522.0338788,6,0,"rejected"
"20",24,"ndd_cl0",1.9,0,0.217682215,Inf,1.158373671,3.288184253,0,2.464762447,Inf,0.146338213,0.051217562,1.9,-525.4651097,6,0,"rejected"
"21",25,"ndd_cl0",2,0,1.343485752,Inf,2.715215303,3.6655439,0,2.470087162,Inf,0.146745319,0.066143658,2,-525.388855,6,0,"rejected"
"22",26,"ndd_cl0",2.1,0,1.01e-15,Inf,1.093826754,5.211403526,0,2.263664934,Inf,0.137957514,0.090546642,2.1,-528.3231629,6,0,"rejected"
"23",27,"ndd_cl0",2.2,0,2.061687863,Inf,1.243818514,6.843688165,0,2.10386944,Inf,0.130955862,0.120732193,2.2,-530.2832325,6,0,"rejected"
"24",1,"ndd_cl0_eqa",0,0,1.783005007,Inf,0.116379766,0.174495238,0,1.857243567,Inf,0.089492002,0.174495238,0,-534.7070107,5,0,"accepted"
"25",2,"ndd_cl0_eqa",0.1,0,3.37e-13,Inf,2.608314997,0.044429124,0,30.11560887,Inf,0.336172553,0.044429124,0.1,-530.1130812,5,0,"rejected"
"26",3,"ndd_cl0_eqa",0.2,0,1.250751031,Inf,0.044789742,0.18141422,0,1.56e-11,Inf,0.145679661,0.18141422,0.2,-529.342479,5,0,"accepted"
"27",4,"ndd_cl0_eqa",0.3,0,0.698525396,Inf,0.020804338,0.1840383,0,0.146807465,Inf,0.136726205,0.1840383,0.3,-524.0101412,5,0,"accepted"
"28",6,"ndd_cl0_eqa",0.4,0,0.51871909,Inf,0.044055607,0.1798671,0,2.615348429,Inf,0.176431497,0.1798671,0.4,-525.2993246,5,0,"accepted"
"29",7,"ndd_cl0_eqa",0.5,0,0.619788862,Inf,0.179888503,0.169619564,0,4.419699936,Inf,0.218902043,0.169619564,0.5,-527.1386662,5,0,"accepted"
"30",8,"ndd_cl0_eqa",0.6,0,7e-13,Inf,1.62738935,0.110125374,0,6.39547182,Inf,0.28941878,0.110125374,0.6,-526.6329397,5,0,"rejected"
