id,model_name,lambda_c,mu,K,gamma,lambda_a,lambda_c2,mu2,K2,gamma2,lambda_a2,prop_type2,loglik,df,conv
1,forest_ndd_cl0,0,1.814097043,Inf,0.106146486,0.155986103,0,1.756769556,Inf,0.126691425,0.189683981,0.5,-534.0154714,6,0
1,forest_ndd_cl0,0,1.814097462,Inf,0.106146524,0.155985986,0,1.756769726,Inf,0.126691426,0.189683958,0.5,-534.0154714,6,0
2,forest_ndd_cl0_eqe,0,1.781426309,Inf,0.104348762,0.154927303,0,1.781426309,Inf,0.128348216,0.190592836,0.5,-534.0234675,5,0
2,forest_ndd_cl0_eqe,0,1.781426367,Inf,0.104348766,0.15492731,0,1.781426367,Inf,0.128348236,0.190592798,0.5,-534.0234675,5,0
4,forest_ndd_cl0_eqa,0,1.825060532,Inf,0.1067022,0.174636617,0,1.749116071,Inf,0.126236943,0.174636617,0.5,-534.0591212,5,0
4,forest_ndd_cl0_eqa,0,1.825060854,Inf,0.106702222,0.174636691,0,1.749116253,Inf,0.126236974,0.174636691,0.5,-534.0591212,5,0
5,forest_ndd_cl0_eqe_eqa,0,1.781822475,Inf,0.104319256,0.174555442,0,1.781822475,Inf,0.128439775,0.174555442,0.5,-534.0734304,4,0
5,forest_ndd_cl0_eqe_eqa,0,1.78182245,Inf,0.104319239,0.174555331,0,1.78182245,Inf,0.128439772,0.174555331,0.5,-534.0734304,4,0
5,forest_ndd_cl0_eqe_eqa,0,1.781822115,Inf,0.104319235,0.174555331,0,1.781822115,Inf,0.12843977,0.174555331,0.5,-534.0734304,4,0
3,forest_ndd_cl0_eqi,0,1.93247859,Inf,0.116873405,0.159443943,0,1.665630916,Inf,0.116873405,0.18666786,0.5,-534.187462,5,0
3,forest_ndd_cl0_eqi,0,1.932478484,Inf,0.116873401,0.159444017,0,1.665631054,Inf,0.116873401,0.186667861,0.5,-534.187462,5,0
3,forest_ndd_cl0_eqi,0,1.93247869,Inf,0.116873421,0.159443925,0,1.665631252,Inf,0.116873421,0.186667864,0.5,-534.187462,5,0
6,forest_ndd_cl0_eqi_eqa,0,1.936578149,Inf,0.116897504,0.174729447,0,1.66303977,Inf,0.116897504,0.174729447,0.5,-534.2160521,4,0
6,forest_ndd_cl0_eqi_eqa,0,1.936578118,Inf,0.116897525,0.17472948,0,1.663039836,Inf,0.116897525,0.17472948,0.5,-534.2160521,4,0
7,forest_ndd_cl0_eqe_eqi,0,1.782599544,Inf,0.116369144,0.153982884,0,1.782599544,Inf,0.116369144,0.191778401,0.5,-534.6400513,4,0
7,forest_ndd_cl0_eqe_eqi,0,1.782599499,Inf,0.116369152,0.153982793,0,1.782599499,Inf,0.116369152,0.191778432,0.5,-534.6400513,4,0
7,forest_ndd_cl0_eqe_eqi,0,1.782599544,Inf,0.11636915,0.15398272,0,1.782599544,Inf,0.11636915,0.19177846,0.5,-534.6400513,4,0
4,forest_ndd_cl0_eqa,0,2.02E-23,Inf,0.021883781,0.136217283,0,1.729105905,Inf,0.125049092,0.136217283,0.5,-556.1534004,5,0
1,forest_ndd_cl0,0,1.814097145,Inf,0.106146486,0.155986014,0,6.27E-45,Inf,0.026888662,0.123218526,0.5,-561.1962852,6,0
2,forest_ndd_cl0_eqe,0,1.18E-14,Inf,0.021911221,0.09572387,0,1.18E-14,Inf,0.026888664,0.123218511,0.5,-582.7848608,5,0
6,forest_ndd_cl0_eqi_eqa,0,9.63E-15,Inf,0.024391037,0.110591876,0,1.64E-31,Inf,0.024391037,0.110591876,0.5,-583.5014312,4,0
