id,model_name,lambda_c,mu,K,gamma,lambda_a,lambda_c2,mu2,K2,gamma2,lambda_a2,prop_type2,loglik,df,conv
1,tyrannidae_ndd_cl0,0,1.675677093,Inf,0.105119547,0.194766433,0,2.228881033,Inf,0.170802074,0.090902315,0.19,-533.3973433,6,0
1,tyrannidae_ndd_cl0,0,6.63E-18,Inf,0.023388102,0.127145898,0,1.80E-36,Inf,0.028736008,0.050755807,0.19,-582.6182501,6,0
2,tyrannidae_ndd_cl0_eqe,0,1.78169032,Inf,0.111305949,0.198909446,0,1.78169032,Inf,0.138246164,0.082913992,0.19,-533.8457623,5,0
2,tyrannidae_ndd_cl0_eqe,0,2.37E-29,Inf,0.023388101,0.12714587,0,2.37E-29,Inf,0.028736004,0.050755778,0.19,-582.6182501,5,0
3,tyrannidae_ndd_cl0_eqi,0,1.791776991,Inf,0.116293829,0.19886648,0,1.73751981,Inf,0.116293829,0.083002836,0.19,-534.2814995,5,0
3,tyrannidae_ndd_cl0_eqi,0,0.935678395,Inf,0.04990196,0.16588156,0,3.00E-26,Inf,0.04990196,0.048425856,0.19,-560.8684421,5,0
4,tyrannidae_ndd_cl0_eqa,0,1.665048092,Inf,0.104557849,0.174692608,0,2.27975847,Inf,0.174079031,0.174692608,0.19,-533.7015605,5,0
4,tyrannidae_ndd_cl0_eqa,0,1.652632128,Inf,0.103901949,0.15170471,0,4.96E-15,Inf,0.028607579,0.15170471,0.19,-548.9483614,5,0
5,tyrannidae_ndd_cl0_eqe_eqa,0,1.783189265,Inf,0.111465067,0.17460843,0,1.783189265,Inf,0.13788666,0.17460843,0.19,-534.2639964,4,0
5,tyrannidae_ndd_cl0_eqe_eqa,0,1.78318958,Inf,0.111465097,0.174608388,0,1.78318958,Inf,0.137886697,0.174608388,0.19,-534.2639964,4,0
6,tyrannidae_ndd_cl0_eqi_eqa,0,1.787104359,Inf,0.116387631,0.174652442,0,1.76536876,Inf,0.116387631,0.174652442,0.19,-534.6942877,4,0
6,tyrannidae_ndd_cl0_eqi_eqa,0,1.24E-32,Inf,0.024391035,0.11059187,0,2.64E-17,Inf,0.024391035,0.11059187,0.19,-583.5014312,4,0
7,tyrannidae_ndd_cl0_eqe_eqi,0,1.781838656,Inf,0.116321137,0.19841981,0,1.781838656,Inf,0.116321137,0.083956219,0.19,-534.2932466,4,0
7,tyrannidae_ndd_cl0_eqe_eqi,0,1.781838245,Inf,0.116321084,0.198419737,0,1.781838245,Inf,0.116321084,0.083956196,0.19,-534.2932466,4,0
1,tyrannidae_ndd_cl0,0,1.675677344,Inf,0.105119552,0.194766398,0,2.228881909,Inf,0.170802159,0.090902305,0.19,-533.3973433,6,0
2,tyrannidae_ndd_cl0_eqe,0,1.781690245,Inf,0.111305942,0.198909465,0,1.781690245,Inf,0.138246146,0.082913954,0.19,-533.8457623,5,0
3,tyrannidae_ndd_cl0_eqi,0,1.791776898,Inf,0.11629382,0.19886651,0,1.737519753,Inf,0.11629382,0.083002891,0.19,-534.2814995,5,0
4,tyrannidae_ndd_cl0_eqa,0,1.665048161,Inf,0.104557857,0.174692558,0,2.279758324,Inf,0.174079058,0.174692558,0.19,-533.7015605,5,0
5,tyrannidae_ndd_cl0_eqe_eqa,0,1.783189312,Inf,0.111465072,0.1746083,0,1.783189312,Inf,0.137886654,0.1746083,0.19,-534.2639964,4,0
6,tyrannidae_ndd_cl0_eqi_eqa,0,1.787104225,Inf,0.11638759,0.174652431,0,1.76536842,Inf,0.11638759,0.174652431,0.19,-534.6942877,4,0
7,tyrannidae_ndd_cl0_eqe_eqi,0,1.781838674,Inf,0.116321109,0.198419659,0,1.781838674,Inf,0.116321109,0.083956162,0.19,-534.2932466,4,0
